Constraints(%),algorithm,NMI,RI,cost,runtime
0%,this work,0.018808963,0.5020182,270.9428,1.27E+08
0%,this work,0.11456236,0.7029501,281.4125,1.19E+08
0%,this work,0.10407878,0.5094678,254,1.30E+08
0%,this work,0.04485085,0.5028251,237.32047,1.68E+08
0%,this work,0.1205271,0.7050091,283.4096,1.19E+08
0%,this work,0.025430648,0.50741214,249.20073,1.38E+08
0%,this work,0.04755598,0.50177443,285.32263,1.34E+08
0%,this work,0.020595971,0.5068031,249.20073,1.43E+08
0%,this work,0.10508584,0.50925446,254,1.31E+08
0%,this work,0.092964716,0.506211,255.57973,1.38E+08
0%,this work,0.05403861,0.6682648,225.49945,1.08E+08
0%,this work,0.10276763,0.50852543,254,1.29E+08
0%,this work,0.36132,0.65846455,284.9614,1.23E+08
0%,this work,0.09322723,0.50637215,255.57973,1.34E+08
0%,this work,0.040465128,0.501017,240.01666,1.60E+08
0%,this work,0.041532703,0.50032204,241,1.42E+08
0%,this work,0.07715154,0.63835585,256.68073,1.15E+08
0%,this work,0.002431327,0.5265532,271.89337,1.39E+08
0%,this work,0.07781393,0.6378926,256.55798,1.39E+08
0%,this work,0.040604874,0.500458,241,1.41E+08
0%,this work,0.11989386,0.6640213,304.56854,1.20E+08
0%,this work,0.46675733,0.7503267,284.8754,1.20E+08
0%,this work,0.009343942,0.65794575,270.9631,1.11E+08
0%,this work,0.02258543,0.63678473,244.48721,1.21E+08
0%,this work,0.09322723,0.50637215,255.57973,1.35E+08
0%,this work,0.12237033,0.5032829,268.33746,1.20E+08
0%,this work,0.00946008,0.65777147,255,1.19E+08
0%,this work,0.098648325,0.5065111,255.57973,1.32E+08
0%,this work,0.0865566,0.50162494,255.32137,1.43E+08
0%,this work,0.021171335,0.6347858,254.89214,1.28E+08
0%,this work,0.022275057,0.60422146,236.02966,1.21E+08
0%,this work,0.02313818,0.50672525,249.20073,1.40E+08
2%,greedy,0.015481393,0.50461835,371.48486,6.03E+08
2%,greedy,0.28142288,0.77142113,323.1176,4.40E+08
2%,greedy,0.08412175,0.63601744,323.1176,4.21E+08
2%,greedy,0.019386616,0.5001971,338.74768,3.56E+08
2%,greedy,0.001483454,0.5090557,323.1176,2.97E+08
2%,greedy,4.78E-04,0.51793206,351.73,3.20E+08
2%,greedy,5.24E-05,0.661085,438.23624,3.00E+08
2%,greedy,0.030112287,0.5073378,425.09528,3.00E+08
2%,greedy,0.014177918,0.50411135,366.46555,3.09E+08
2%,greedy,0.045316193,0.5072796,440.52127,1.90E+08
2%,greedy,0.06925378,0.63365257,323.1176,1.92E+08
2%,greedy,0.6449704,0.87112015,329.11548,1.87E+08
2%,greedy,0.039030094,0.54470223,323.1176,1.86E+08
2%,greedy,0.14544185,0.7110472,323.1176,1.84E+08
2%,greedy,0.018260915,0.50507385,323.1176,1.86E+08
2%,greedy,0.026670387,0.53018683,323.1176,1.85E+08
2%,greedy,0.002481499,0.50409067,323.1176,1.86E+08
2%,greedy,0.017544292,0.5062556,394.4946,2.08E+08
2%,greedy,0.073256604,0.5260944,438.23624,1.92E+08
2%,greedy,1.71E-05,0.658607,438.23624,1.93E+08
2%,greedy,0.07845426,0.62219965,323.1176,1.96E+08
2%,greedy,0.015085265,0.5046892,371.82254,1.90E+08
2%,greedy,0.13329169,0.667716,323.1176,1.94E+08
2%,greedy,0.003720961,0.65829915,394.32474,1.89E+08
2%,greedy,0.006639241,0.5112275,323.1176,2.55E+08
2%,greedy,0.021746371,0.5426234,323.1176,1.89E+08
2%,greedy,0.01361727,0.61807126,438.23624,1.93E+08
2%,greedy,0.17100714,0.51296955,334.8567,1.92E+08
2%,greedy,2.10E-04,0.66253823,438.23624,1.93E+08
2%,greedy,0.003281206,0.63618356,327.80023,2.12E+08
2%,greedy,0.041490942,0.5693084,438.23624,1.94E+08
2%,greedy,9.99E-04,0.6655816,438.23624,1.92E+08
2%,greedy,0.07880243,0.62172806,323.1176,1.90E+08
2%,greedy,0.08525425,0.65300345,323.1176,1.88E+08
2%,greedy,0.08054042,0.5191292,438.23624,2.16E+08
2%,greedy,0.018302094,0.5032381,323.1176,1.90E+08
2%,greedy,0.144479,0.7167212,369.5795,1.89E+08
2%,greedy,0.012184321,0.5001327,328.98175,1.91E+08
2%,greedy,0.016519736,0.5056337,384.91168,1.93E+08
2%,greedy,0.05940956,0.5424449,438.23624,1.94E+08
2%,greedy,0.0861818,0.6896511,396.2146,3.11E+08
2%,greedy,0.35784233,0.7880667,346.49963,4.16E+08
2%,greedy,0.013889469,0.6579182,396.2146,3.36E+08
2%,greedy,0.051614895,0.6222763,324.49808,4.36E+08
2%,greedy,0.01799935,0.5880254,396.2146,2.50E+08
2%,greedy,0.00159756,0.50507635,396.2146,2.49E+08
2%,greedy,0.051697396,0.56097007,396.2146,2.45E+08
2%,greedy,0.06941961,0.68289644,396.2146,2.63E+08
2%,greedy,0.055852186,0.6775898,396.2146,2.54E+08
2%,greedy,0.018383158,0.55917656,396.2146,2.48E+08
2%,greedy,0.024382789,0.56897455,396.2146,2.68E+08
2%,greedy,0.002401093,0.5222327,396.2146,2.54E+08
2%,greedy,0.011435336,0.6193956,396.2146,2.53E+08
2%,greedy,0.08109352,0.6876958,396.2146,2.45E+08
2%,greedy,0.083919935,0.50392115,396.2146,2.49E+08
2%,greedy,0.47418088,0.83991796,309.26688,3.87E+08
2%,greedy,0.031537358,0.52275723,396.2146,2.51E+08
2%,greedy,0.014733656,0.5014044,418.34198,2.53E+08
2%,greedy,0.5313466,0.8629877,309.26688,3.82E+08
2%,greedy,0.5400074,0.86542565,309.26688,4.10E+08
2%,greedy,0.011442008,0.60371906,396.2146,2.47E+08
2%,greedy,0.01629714,0.5008294,396.2146,2.54E+08
2%,greedy,0.004289509,0.5059215,396.2146,2.52E+08
2%,greedy,0.001139833,0.52054167,396.2146,2.57E+08
2%,greedy,0.013234905,0.5028245,427.28677,2.52E+08
2%,greedy,0.043975424,0.67237544,396.2146,2.54E+08
2%,greedy,1.52E-04,0.6612008,411.22012,2.80E+08
2%,greedy,0.02465207,0.5679056,396.2146,2.46E+08
2%,greedy,0.071579464,0.6837217,396.2146,2.45E+08
2%,greedy,0.07790316,0.68643284,396.2146,2.52E+08
2%,greedy,0.08720452,0.50130284,396.2146,2.53E+08
2%,greedy,0.5503476,0.86852306,309.26688,3.95E+08
2%,greedy,0.5068958,0.85066754,309.26688,4.25E+08
2%,greedy,0.013707725,0.5027314,427.33594,2.55E+08
2%,greedy,0.38896164,0.7980699,346.49963,3.95E+08
2%,greedy,0.013972433,0.5020322,422.1978,2.78E+08
2%,greedy,0.16385436,0.5119468,398.60883,2.54E+08
2%,greedy,0.0138831,0.5036095,434.77466,2.52E+08
2%,greedy,0.033100184,0.548103,396.2146,2.73E+08
2%,greedy,0.00534918,0.6521424,396.2146,2.48E+08
2%,greedy,0.022145038,0.602448,353.3582,3.70E+08
2%,greedy,0.2984285,0.77748585,374.41956,4.20E+08
2%,greedy,0.15387647,0.5303093,353.3582,3.73E+08
2%,greedy,0.14482574,0.67496324,353.3582,3.93E+08
2%,greedy,0.06546468,0.50992125,353.3582,3.81E+08
2%,greedy,0.020291548,0.5003406,353.3582,3.85E+08
2%,greedy,0.049429566,0.54173213,353.3582,3.71E+08
2%,greedy,0.020638503,0.5000512,366.46555,3.71E+08
2%,greedy,0.1898904,0.72494894,353.3582,3.87E+08
2%,greedy,0.004093523,0.6416901,407.45798,3.69E+08
2%,greedy,0.19956116,0.7224597,353.3582,3.83E+08
2%,greedy,0.20254852,0.72350067,353.3582,3.67E+08
2%,greedy,0.20601335,0.72555155,353.3582,3.63E+08
