Constraints(%),algorithm,NMI,RI,cost,runtime
2%,greedy,0.46084276,0.71180093,550.9816,512319
2%,greedy,0.38864583,0.6773948,580.2182,1.94E+07
2%,greedy,0.3018004,0.61607313,395.2833,496709
2%,greedy,0.3358275,0.6539072,475.15604,538141
2%,greedy,0.38682765,0.68958294,605.36945,376142
2%,greedy,0.43574685,0.70710343,530.1429,371465
2%,greedy,0.3090128,0.5875071,445.6714,338894
2%,greedy,0.37177485,0.67498255,500.07712,342895
2%,greedy,0.39855528,0.6288326,680.08246,331045
2%,greedy,0.37776127,0.6870437,580.2182,341562
2%,greedy,0.31501114,0.5930299,447.0844,330891
2%,greedy,0.42272595,0.69542307,565.2437,334412
2%,greedy,0.34875652,0.6617787,535.2149,345892
2%,greedy,0.37776127,0.6870437,580.2182,337050
2%,greedy,0.31587204,0.60293275,445.6714,336909
2%,greedy,0.3819494,0.6693963,605.36945,344731
2%,greedy,0.3311172,0.65086013,472.0208,348344
2%,greedy,0.38864583,0.6773948,580.2182,4230539
2%,greedy,0.4037552,0.67142767,605.36945,144182
2%,greedy,0.38864583,0.6773948,590.0623,121106
2%,greedy,0.29421383,0.6184854,427.2084,114987
2%,greedy,0.40613547,0.64375037,635.1928,128200
2%,greedy,0.39855528,0.6288326,670.06714,110621
2%,greedy,0.3090128,0.5875071,445.6714,111806
2%,greedy,0.4037552,0.67142767,605.36945,598972
2%,greedy,0.3266035,0.62864214,355.12714,140581
2%,greedy,0.4051095,0.68634546,565.2437,110164
2%,greedy,0.29813847,0.6253412,455.6484,124173
2%,greedy,0.379693,0.65809685,370.02737,140364
2%,greedy,0.3027909,0.6135339,400.2329,109920
2%,greedy,0.31987163,0.6263569,371.09668,136146
2%,greedy,0.38609272,0.6880594,520.0823,110652
2%,greedy,0.42272595,0.69542307,565.2437,126901
2%,greedy,0.37981927,0.6257221,670.06714,128067
2%,greedy,0.38864583,0.6773948,580.13367,109777
2%,greedy,0.38774788,0.65435153,615.3383,112240
2%,greedy,0.39133692,0.689456,455.53174,120374
2%,greedy,0.38469774,0.6742208,515.49786,113627
2%,greedy,0.38957936,0.62330985,605.3903,118578
2%,greedy,0.32437167,0.6461626,409.36868,122086
2%,greedy,0.41583005,0.64133817,570.23004,109848
2%,greedy,0.33057648,0.6499714,455.33987,118879
2%,greedy,0.42309484,0.69263,400.2329,128071
2%,greedy,0.37224948,0.683108,525.33466,115805
2%,greedy,0.3818892,0.6846315,455.12793,120130
2%,greedy,0.42309484,0.69263,395.12036,122715
2%,greedy,0.2991779,0.603885,420.0017,116432
2%,greedy,0.38957936,0.62330985,605.3903,123848
2%,greedy,0.37224948,0.683108,515.8934,122496
2%,greedy,0.37224948,0.683108,515.49786,112791
2%,greedy,0.42423066,0.70215195,465.40546,111291
2%,greedy,0.36746916,0.6804418,435.29202,111373
2%,greedy,0.37224948,0.683108,525.33466,116555
2%,greedy,0.40493733,0.62616646,615.17834,120188
2%,greedy,0.32605726,0.64730525,440.42877,112824
2%,greedy,0.32605726,0.64730525,435.29202,109857
2%,greedy,0.37548384,0.6509871,551.14374,126853
2%,greedy,0.31817156,0.62616646,335.56265,117870
2%,greedy,0.31284258,0.6073129,445.6714,123315
2%,greedy,0.39133692,0.689456,455.53174,112334
2%,greedy,0.37548384,0.6509871,551.14374,135627
2%,greedy,0.29168504,0.6208976,391.92618,113645
2%,greedy,0.44302657,0.70570683,445.6714,122170
2%,greedy,0.33057648,0.6499714,410.74448,114006
2%,greedy,0.3911364,0.66768235,541.22437,108393
2%,greedy,0.40112498,0.6935187,470.56314,109416
2%,greedy,0.34151283,0.6655875,435.29202,110927
2%,greedy,0.42309484,0.69263,395.00525,129316
2%,greedy,0.38469774,0.6742208,515.8934,113040
2%,greedy,0.4046419,0.65543073,570.23004,108974
2%,greedy,0.41583005,0.64133817,570.23004,120410
2%,greedy,0.40116963,0.68317145,500.98337,108989
2%,greedy,0.33034205,0.63321275,302.09537,117725
2%,greedy,0.30294678,0.61194694,415.25095,108657
2%,greedy,0.4267478,0.6979623,485.55243,108304
2%,greedy,0.4474892,0.70710343,487.34042,113933
2%,greedy,0.2970015,0.60934424,695.8447,111618
2%,greedy,0.2936679,0.6244525,695.8447,114085
2%,greedy,0.39918938,0.68786895,390.20877,115788
2%,greedy,0.38614118,0.69681966,695.8447,105944
2%,greedy,0.45048696,0.6476862,350.3206,111982
2%,greedy,0.35081217,0.6715546,695.8447,118316
2%,greedy,0.43849847,0.708373,558.76526,111144
2%,greedy,0.35081217,0.6715546,695.8447,113736
2%,greedy,0.3013488,0.60997903,695.8447,108699
2%,greedy,0.42367083,0.62915,417.11334,110754
2%,greedy,0.31399494,0.6269917,390.96335,117703
2%,greedy,0.275925,0.60375804,695.8447,111289
2%,greedy,0.29862466,0.5951247,695.8447,107268
2%,greedy,0.28353837,0.60585284,695.8447,118107
2%,greedy,0.35081217,0.6715546,695.8447,111962
2%,greedy,0.38614118,0.69681966,695.8447,110930
2%,greedy,0.42399088,0.7046912,595.53406,112390
2%,greedy,0.4715625,0.71205485,523.43396,113985
2%,greedy,0.42367083,0.62915,402.0842,112511
2%,greedy,0.31189618,0.651241,663.3712,109799
2%,greedy,0.43849847,0.708373,560.511,110226
2%,greedy,0.2936679,0.6244525,695.8447,109200
2%,greedy,0.31399494,0.6269917,390.96335,117244
2%,greedy,0.30005816,0.6313083,545.244,126647
2%,greedy,0.39586875,0.69923186,695.8447,112786
2%,greedy,0.2936679,0.6244525,695.8447,111836
2%,greedy,0.46354678,0.7057703,508.45813,108485
2%,greedy,0.4015992,0.65784293,366.32535,106673
2%,greedy,0.38614118,0.69681966,695.8447,124456
2%,greedy,0.45048696,0.6476862,372.121,113805
2%,greedy,0.46354678,0.7057703,507.62662,110030
2%,greedy,0.42024478,0.70976955,695.8447,113714
2%,greedy,0.28394994,0.62267506,695.8447,109196
2%,greedy,0.3545141,0.66596836,662.0325,120430
2%,greedy,0.4015992,0.65784293,366.32535,108452
2%,greedy,0.30005816,0.6313083,515.46814,118287
2%,greedy,0.3792242,0.67244333,385.24326,117828
2%,greedy,0.42865914,0.68698025,467.8834,110367
2%,greedy,0.42367083,0.62915,402.0842,116248
2%,greedy,0.41843948,0.6587952,343.4325,109847
2%,greedy,0.35178617,0.6631753,382.39444,118425
2%,greedy,0.47438368,0.7034216,535.25903,115817
2%,greedy,0.41615108,0.68958294,535.25903,113430
2%,greedy,0.43405274,0.64667046,535.25903,121955
2%,greedy,0.42626062,0.6313083,535.25903,116065
2%,greedy,0.42626062,0.6313083,535.25903,111161
2%,greedy,0.35178617,0.6631753,382.39444,125981
2%,greedy,0.4481442,0.6560655,535.25903,116725
2%,greedy,0.4466222,0.66215956,535.25903,117791
2%,greedy,0.4043619,0.6655875,535.25903,112150
2%,greedy,0.35178617,0.6631753,389.43698,113797
2%,greedy,0.4481442,0.6560655,535.25903,125066
2%,greedy,0.428569,0.61607313,535.25903,121627
2%,greedy,0.43336195,0.69973975,535.25903,121110
2%,greedy,0.33230898,0.6517489,353.85083,116502
2%,greedy,0.30121383,0.60401195,945.0758,113127
2%,greedy,0.4439288,0.7068495,535.25903,121665
2%,greedy,0.4134157,0.70119977,436.06113,118963
2%,greedy,0.41624516,0.607059,535.25903,115154
2%,greedy,0.4043619,0.6655875,535.25903,113211
2%,greedy,0.4399676,0.7025328,535.25903,118966
2%,greedy,0.4395656,0.6405764,535.25903,114015
