Constraints(%),algorithm,NMI,RI,cost,runtime
2%,Greedy,4.36E-04,0.5096782,3.0703542,2.53E+07
2%,Greedy,4.55E-04,0.50969046,3.0703542,1.77E+07
2%,Greedy,3.63E-04,0.50960416,3.0703542,2.58E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.83E+07
2%,Greedy,4.36E-04,0.5096782,3.0703542,1.79E+07
2%,Greedy,5.45E-04,0.50974005,3.0703542,1.72E+07
2%,Greedy,0.004019646,0.50689733,2.794231,1.81E+07
2%,Greedy,3.55E-04,0.5096288,3.0703542,1.83E+07
2%,Greedy,0.001675747,0.50777954,2.794231,2.57E+07
2%,Greedy,4.16E-04,0.50965345,3.0703542,1.80E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.77E+07
2%,Greedy,5.21E-04,0.50972766,3.0703542,3.43E+07
2%,Greedy,4.57E-04,0.5096905,3.0703542,1.41E+07
2%,Greedy,0.005010484,0.50658774,2.794231,2.21E+07
2%,Greedy,0.003955463,0.5069182,2.794231,1.41E+07
2%,Greedy,3.95E-04,0.50965345,3.0703542,2.32E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.41E+07
2%,Greedy,4.53E-04,0.5096905,3.0703542,1.41E+07
2%,Greedy,4.75E-04,0.5097029,3.0703542,1.54E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.65E+07
2%,Greedy,3.95E-04,0.50965345,3.0703542,1.53E+07
2%,Greedy,0.004310879,0.5068037,2.794231,1.41E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.41E+07
2%,Greedy,0.004875099,0.50662863,2.794231,1.42E+07
2%,Greedy,0.002051025,0.5080817,3.3947866,1.74E+07
2%,Greedy,0.009669571,0.50614655,2.832798,2.54E+07
2%,Greedy,0.00198703,0.5081156,3.3947866,4.17E+07
2%,Greedy,0.002146757,0.50803655,3.3947866,3.38E+07
2%,Greedy,0.002018636,0.50810426,3.3947866,4.63E+07
